trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,profile_embedding_enabled,profile_coherence_enabled,profile_coherence_lambda,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,0,2019-08-01,0.14599367070743677,-0.0041889493710012,0.2544820779220779,0.944
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,1,2019-08-14,0.1591185045448657,0.01846126086003847,0.24453220220901173,0.9592829705505762
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,2,2019-08-27,0.16588384282807336,0.005599711192046582,0.2588742007346658,0.934593023255814
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,3,2019-09-09,0.152127102030969,2.958378321001131e-05,0.24929482855179447,0.9316624895572264
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,4,2019-09-20,0.17119672926810672,-0.03037500576328123,0.2731557387421927,0.9413703943115708
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,5,2019-10-03,0.179054355734486,-0.08909713294006291,0.2625604492886828,0.9497022198159176
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,6,2019-10-16,0.19679976232763463,-0.07868257017016797,0.30696072563385224,0.9482808716707022
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,7,2019-10-29,0.18935489573070274,-0.07294165835633146,0.2695240308959134,0.9432370472260431
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,8,2019-11-11,0.18972172463124984,-0.06037147577504209,0.2721471147366153,0.9439555555555555
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,9,2019-11-22,0.19568397786303227,-0.06892466967854455,0.27378835563068615,0.9470536883457005
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,10,2019-12-05,0.2054853954333871,-0.07012596539918019,0.29305045055939494,0.9411167512690356
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,11,2019-12-18,0.2088584257685343,-0.0591909108516801,0.308144684739061,0.9510856206472756
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,12,2020-01-01,0.20747447582823533,-0.06067630784168282,0.2917291881076303,0.9451807228915663
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,13,2020-01-14,0.20124287967560536,-0.06327100765441271,0.2859701497363457,0.9412570507655116
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,14,2020-01-27,0.2006619220675075,-0.06801696321684006,0.30957196616768323,0.9369863013698629
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,15,2020-02-07,0.2201338450452454,-0.06808387780658495,0.317684536685897,0.9467000835421888
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,16,2020-02-20,0.22220838212953867,-0.07051684475241694,0.33586890207839926,0.9383197599657094
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,17,2020-03-04,0.2120973625233993,-0.038333980430841325,0.3157848573922915,0.951865671641791
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,18,2020-03-17,0.22464784029235482,0.04343537850692973,0.34829282443636117,0.9221358216692587
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,19,2020-03-30,0.2091223793497609,0.023430484315259414,0.3149083365582744,0.9525698324022346
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,20,2020-04-10,0.21391769778366748,0.013937784753516487,0.3261262862759712,0.9391666666666666
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,21,2020-04-23,0.19854885202793698,0.0013864880023273976,0.30410930008143816,0.9339794064203513
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,22,2020-05-06,0.22433951173555736,0.008465263163109195,0.3574225667066008,0.9243947858472998
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,23,2020-05-19,0.2219907622111644,-0.007625027027207286,0.34720921834845886,0.9323417721518987
464b0_00005,128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,24,2020-06-01,0.19045693553684664,0.0028467182474428395,0.3107850089557407,0.923928806855636
