trial_id,number_of_estimators,max_depth,random_state,prediction_horizon_months,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
df0bd_00008,40,50,42,6,0,2019-08-01,0.002422585416513339,0.007152136558322021,0.003081904761904762,0.6756800000000001,1.0309686773087998
df0bd_00008,40,50,42,6,1,2019-08-14,0.027795829124692584,0.03280036304137276,0.06881440156088044,0.6300896286811779,0.9811149196919424
df0bd_00008,40,50,42,6,2,2019-08-27,0.028843115171189787,0.03933144733766625,0.07831738490780718,0.6168604651162791,1.0083202473455053
df0bd_00008,40,50,42,6,3,2019-09-09,0.007757202127947034,0.03696813252344546,0.012862799258936661,0.7170426065162908,1.175168799951207
df0bd_00008,40,50,42,6,4,2019-09-20,0.003368597511677016,-0.0005630796992231097,0.004763593572888686,0.6670976082740788,1.015828292138437
df0bd_00008,40,50,42,6,5,2019-10-03,0.03765570554453831,-0.044844231722305346,0.08883969610539279,0.7275040606388739,1.1471234461733637
df0bd_00008,40,50,42,6,6,2019-10-16,0.016602257635980337,-0.05957929544493206,0.03125992021375746,0.651864406779661,1.0568000929749657
df0bd_00008,40,50,42,6,7,2019-10-29,0.009291047348816549,-0.049172125464786894,0.014851036762560036,0.6691425951398441,1.0516844651061585
df0bd_00008,40,50,42,6,8,2019-11-11,0.011027342367809317,-0.020953984746080876,0.021013926305082083,0.6841333333333333,1.0374767341313837
df0bd_00008,40,50,42,6,9,2019-11-22,0.004641155250249872,-0.003291132789396385,0.008219723472083041,0.6692710606721956,1.02014258454629
df0bd_00008,40,50,42,6,10,2019-12-05,0.010656157257345275,-0.017569779797210437,0.01866197899001676,0.7276649746192894,1.1468734608405953
df0bd_00008,40,50,42,6,11,2019-12-18,0.002732436870448815,0.002739673765026241,0.004966893757761461,0.6672265464973371,1.0185880365124056
df0bd_00008,40,50,42,6,12,2020-01-01,0.0038470752069476068,-0.005563119800460788,0.006626446365835625,0.6714056224899598,0.9955024487341739
df0bd_00008,40,50,42,6,13,2020-01-14,0.003529968851736194,0.014376949013883162,0.006777274478907727,0.6652699435938759,1.0171155369171334
df0bd_00008,40,50,42,6,14,2020-01-27,0.002456261183607546,-0.02144797002561262,0.005845364415833402,0.5757050765511683,0.9320433148449109
df0bd_00008,40,50,42,6,15,2020-02-07,0.0011676432854488465,-0.02192315385079789,0.002330525920751485,0.634544695071011,0.9763479531329089
df0bd_00008,40,50,42,6,16,2020-02-20,0.0008703339544949061,-0.01551238758550547,0.002030562189156274,0.6470210030004286,1.0520678501640495
df0bd_00008,40,50,42,6,17,2020-03-04,0.035899615747729444,-0.0353156491804827,0.055306425895110575,0.6387593283582089,1.0077929333698985
df0bd_00008,40,50,42,6,18,2020-03-17,0.020378150296688546,0.0468462366325009,0.03701227153564542,0.6638672887506479,1.0795620113370707
df0bd_00008,40,50,42,6,19,2020-03-30,0.01900716915675774,0.02007876597445871,0.039177952897823165,0.7237430167597766,1.1545750433454127
df0bd_00008,40,50,42,6,20,2020-04-10,0.03248603077373558,0.021490166681344586,0.0791932972684023,0.7343452380952381,1.1051207133871697
df0bd_00008,40,50,42,6,21,2020-04-23,0.006583182578470502,0.01314425506933498,0.011452159120239072,0.7377952755905511,1.133813486303141
df0bd_00008,40,50,42,6,22,2020-05-06,0.006771516755790688,0.010278039872593996,0.01188822040777348,0.6657355679702048,1.012236752687134
df0bd_00008,40,50,42,6,23,2020-05-19,0.01836213897999361,-0.012805691858499961,0.03906417949139468,0.6318987341772152,1.0001590122750412
df0bd_00008,40,50,42,6,24,2020-06-01,0.011327143228859898,0.0162888332605928,0.026231307328868303,0.8174027686222808,1.2708432829906815
df0bd_00008,40,50,42,6,25,2020-06-12,0.05682110684744644,0.011361301107447742,0.08027327995298325,0.7188132164531356,1.0808798324240898
df0bd_00008,40,50,42,6,26,2020-06-25,0.0783371571322896,0.028864668726903617,0.16878156769316624,0.6618330194601381,1.080535495745009
df0bd_00008,40,50,42,6,27,2020-07-08,0.014627653780455677,0.023661931458662272,0.016216567070269867,0.6407341622261694,1.0778688104584015
df0bd_00008,40,50,42,6,28,2020-07-21,0.018306114937991853,0.06878297806373987,0.025660368937591757,0.6621513944223109,1.0573302935776359
df0bd_00008,40,50,42,6,29,2020-08-03,0.031405965559285876,0.028691195640756076,0.06432092871871105,0.7182974018794915,1.1082465654922238
df0bd_00008,40,50,42,6,30,2020-08-14,0.04997069312489201,0.027233390873900656,0.08318982568612344,0.7149277688603531,1.1148180801805403
df0bd_00008,40,50,42,6,31,2020-08-27,0.05547655233861938,0.055989220880239124,0.08668580166290198,0.6769311613242249,1.0773712955495989
df0bd_00008,40,50,42,6,32,2020-09-09,0.00427932818693659,0.06859425174102593,0.00646033801240366,0.6318181818181818,0.9303939184089673
df0bd_00008,40,50,42,6,33,2020-09-22,0.010131249176198962,0.028484689292749804,0.0177209558996481,0.6682793017456359,1.0335393842447518
df0bd_00008,40,50,42,6,34,2020-10-05,0.007042489339094001,0.019046877174372114,0.010317379537911139,0.6713055954088953,1.0845300359955063
df0bd_00008,40,50,42,6,35,2020-10-16,0.008954788760089415,0.0192744745406758,0.01483802469276575,0.6680976050610031,1.03467990336353
df0bd_00008,40,50,42,6,36,2020-10-29,0.00554442639487899,0.02701944724410142,0.0095479056623859,0.727682873412177,1.1344322649962102
df0bd_00008,40,50,42,6,37,2020-11-11,0.009903814733661703,0.04728250276165267,0.01964118302739426,0.72789406236651,1.1140542623386207
df0bd_00008,40,50,42,6,38,2020-11-24,0.0025665071848115424,0.03744920142182507,0.005479580605896395,0.7041263157894737,1.1052239664955223
df0bd_00008,40,50,42,6,39,2020-12-07,0.06702067754471845,-0.006409200949598671,0.1648423899736162,0.6834935227747597,1.1099016819461736
df0bd_00008,40,50,42,6,40,2020-12-18,0.0018410270357153008,0.043524339249607795,0.004254369576950222,0.6018308631211856,0.95126509027063
df0bd_00008,40,50,42,6,41,2021-01-01,0.009836143051008224,0.04939944262230939,0.026082543317056592,0.6702654867256637,1.0738180922445026
df0bd_00008,40,50,42,6,42,2021-01-14,0.009109422852964285,0.05028805400744891,0.024315368249274993,0.6304662743322771,1.0175839482563083
df0bd_00008,40,50,42,6,43,2021-01-27,0.0014261000524143433,0.042561836762288564,0.002423043693574805,0.5716628701594533,0.9157088236393224
df0bd_00008,40,50,42,6,44,2021-02-09,0.008163570915368673,0.031161229391734425,0.018222871266707463,0.6941363636363636,1.1009589470992696
df0bd_00008,40,50,42,6,45,2021-02-22,0.003898718925618417,0.0523558099914355,0.006610926289390895,0.6328905176362803,0.9938371759622668
df0bd_00008,40,50,42,6,46,2021-03-05,0.004431700061988354,0.06250378941901248,0.008187309968885528,0.6326682134570765,0.9940479594930508
df0bd_00008,40,50,42,6,47,2021-03-18,0.003918677794401173,0.06525879977937421,0.0069427118713652125,0.6264567499095186,0.9930497518685026
df0bd_00008,40,50,42,6,48,2021-03-31,0.05579354889832117,0.04065733398073518,0.10596159387660993,0.6599521531100478,1.0226264287634388
df0bd_00008,40,50,42,6,49,2021-04-13,0.03720872472200881,0.041038025523392224,0.08998964271580974,0.6162337662337662,0.9749427157159538
df0bd_00008,40,50,42,6,50,2021-04-26,0.049965722407550546,0.048160643789000895,0.09647444658605014,0.613803680981595,0.9722080649026258
df0bd_00008,40,50,42,6,51,2021-05-07,0.03524379712072342,0.039021790632062,0.06739164653898837,0.6054808686659773,0.990573138249336
