number_of_estimators,max_depth,random_state,prediction_horizon_months,average_ndcg,average_roi,average_recall,average_profile_coherence
20,,42,6,0.019142096542924904,0.010571940775486743,0.035109211870679724,0.6570157383830683
20,15.0,42,6,0.020912344311296387,0.00975224707912966,0.0400464951309516,0.661447354143654
50,,42,6,0.019646324398798185,0.012866345991318607,0.03650856897327032,0.6668616874986997
50,15.0,42,6,0.020707379305123397,0.009958609116414878,0.03930682517612611,0.6638015989539096
100,,42,6,0.019863368650976047,0.012186995109972397,0.03565547039977861,0.6648069570764574
100,15.0,42,6,0.02070632396241897,0.008977708624076593,0.0386584883639543,0.6569059745054205
