trial_id,number_of_estimators,max_depth,random_state,prediction_horizon_months,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
d9e05_00011,50,25,42,6,0,2019-08-01,0.0015045188203238464,0.0053243641279737955,0.002533333333333333,0.74,1.091420893728977
d9e05_00011,50,25,42,6,1,2019-08-14,0.029449453914819283,0.03470385571317317,0.0698387293457716,0.6459667093469911,0.9815867086795721
d9e05_00011,50,25,42,6,2,2019-08-27,0.029527169182597183,0.039142915840893036,0.07880188103183819,0.6258720930232557,1.0196638733144086
d9e05_00011,50,25,42,6,3,2019-09-09,0.028756226061545882,0.034576671727285,0.07549941424517571,0.7057644110275689,1.153469399619203
d9e05_00011,50,25,42,6,4,2019-09-20,0.002976595242856289,0.00034761462769302044,0.003998672219732038,0.651519069166128,1.0216865622667413
d9e05_00011,50,25,42,6,5,2019-10-03,0.04754969689950785,-0.06140831479222458,0.11547471827206632,0.6733622089875474,1.084851731292857
d9e05_00011,50,25,42,6,6,2019-10-16,0.014781636827605716,-0.06293300792125113,0.0301920104270042,0.6550605326876513,1.057718053762887
d9e05_00011,50,25,42,6,7,2019-10-29,0.009094847573487318,-0.04070035047883725,0.01390705944004047,0.6973406694176982,1.087944432989463
d9e05_00011,50,25,42,6,8,2019-11-11,0.00912109157373024,-0.014894091948899532,0.018057623462239172,0.684711111111111,1.037607215716097
d9e05_00011,50,25,42,6,9,2019-11-22,0.010903759503888982,-0.015598571948713705,0.023477667730614393,0.6676123963334788,1.014962238461009
d9e05_00011,50,25,42,6,10,2019-12-05,0.01154203088496989,-0.02512253186601932,0.020991843264677987,0.71082910321489,1.1000154933274597
d9e05_00011,50,25,42,6,11,2019-12-18,0.0028703501287294614,-0.015546905494234015,0.004948263382719779,0.6836952068824252,1.011274248897569
d9e05_00011,50,25,42,6,12,2020-01-01,0.0036218570894597257,-0.012755546902309085,0.005981829416807483,0.685140562248996,1.0398476757091035
d9e05_00011,50,25,42,6,13,2020-01-14,0.002996421491611868,0.018728161245760863,0.005288779537552189,0.6218775181305399,0.96015299044745
d9e05_00011,50,25,42,6,14,2020-01-27,0.0025257782711673583,-0.02164369935803314,0.004848035815287957,0.6325543916196615,1.0327208600385505
d9e05_00011,50,25,42,6,15,2020-02-07,0.0010848000314985001,-0.02512088818648843,0.0022783120527481433,0.6178780284043442,0.9832805804174863
d9e05_00011,50,25,42,6,16,2020-02-20,0.003331400308558083,-0.0017393707616099243,0.0071935339509278644,0.6351907415345049,1.0356454922583238
d9e05_00011,50,25,42,6,17,2020-03-04,0.03625391319905065,-0.03190625837742597,0.05410118633660061,0.6728078358208955,1.052271605136861
d9e05_00011,50,25,42,6,18,2020-03-17,0.020879228197910583,0.05344734688544976,0.04149957761704171,0.6242612752721618,1.058365556466785
d9e05_00011,50,25,42,6,19,2020-03-30,0.022101657928115897,0.017254500233792894,0.0445185591784343,0.7106703910614525,1.1108383326012028
d9e05_00011,50,25,42,6,20,2020-04-10,0.013560334686388814,0.01568662147960582,0.02891874931790898,0.7001785714285714,1.1117811681760752
d9e05_00011,50,25,42,6,21,2020-04-23,0.006476746523203976,0.013178200505353068,0.01118800944664058,0.7375529981829194,1.1332152056709337
d9e05_00011,50,25,42,6,22,2020-05-06,0.047871506984882885,0.00500143927237405,0.12732047474525177,0.753941651148355,1.1096383097330746
d9e05_00011,50,25,42,6,23,2020-05-19,0.018282687394250947,-0.015536025627994474,0.039222407339495946,0.6037974683544304,0.9319010936325686
d9e05_00011,50,25,42,6,24,2020-06-01,0.006191381370762542,0.013185365011703434,0.012532068019872899,0.8021094264996703,1.2769356242022512
d9e05_00011,50,25,42,6,25,2020-06-12,0.05682110684744644,0.01573870236489971,0.08027327995298325,0.7188132164531356,1.0808798324240898
d9e05_00011,50,25,42,6,26,2020-06-25,0.06095065826265349,0.027431144341466995,0.13767920245709103,0.6508474576271186,1.0663379735934282
