trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,0,2019-08-01,0.2940493643816903,-0.0023085763492239415,0.4685259451659452,0.80192,1.166951298145785
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,1,2019-08-14,0.2799006129625547,0.02496251551304701,0.4485609022044211,0.7895006402048655,1.1624680252188901
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,2,2019-08-27,0.2934332536260059,0.00675155233524078,0.46543681425107375,0.7804263565891473,1.1706017319566941
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,3,2019-09-09,0.2996907475734926,0.00034305592654302626,0.46474899390091784,0.7889724310776942,1.1860091388123075
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,4,2019-09-20,0.3210271741695729,-0.0386679461926836,0.49958443193053287,0.7952165481577247,1.1856541047688276
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,5,2019-10-03,0.3519418402220914,-0.10856644745112719,0.5290866542017307,0.7957769355711966,1.1964268515315641
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,6,2019-10-16,0.3684540266947028,-0.09280018908622191,0.5370495812050651,0.7995157384987893,1.1938372745750974
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,7,2019-10-29,0.3787356996731186,-0.09015111991008586,0.5414687314312976,0.7928931682714351,1.1869598093659202
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,8,2019-11-11,0.37524604234934317,-0.07761311942964715,0.5285573053270626,0.7888888888888889,1.1801115478830064
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,9,2019-11-22,0.3877571833879122,-0.0909448510020094,0.5447350969202854,0.8119161938018333,1.211971182349179
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,10,2019-12-05,0.39002019568848034,-0.0914091926828238,0.5362782988835753,0.8037648054145516,1.1996664568865023
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,11,2019-12-18,0.4115250755382054,-0.07782494013534912,0.5571968925061429,0.8096272019664071,1.2127960538601523
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,12,2020-01-01,0.40888688683500923,-0.07814135278070342,0.5471616100713446,0.8010441767068274,1.193867916450061
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,13,2020-01-14,0.40369631026584724,-0.07948546543255201,0.5525198813658969,0.7905318291700242,1.1822399409975486
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,14,2020-01-27,0.4091986106633926,-0.08323890482702045,0.5563397332301222,0.797300564061241,1.1981570469232048
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,15,2020-02-07,0.41274966093728105,-0.07949102594857362,0.5696109992056313,0.7961152882205514,1.183482311000376
eb788_00002,64,2,0.001,1e-05,0.6,50,1024,16,2020-02-20,0.42498575585723447,-0.08612195899429839,0.5854174588955475,0.8009001285897985,1.1918675863185193
