trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,profile_embedding_enabled,profile_coherence_enabled,profile_coherence_lambda,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,0,2019-08-01,0.2615149955009204,-0.002500205452768442,0.43633102453102457,0.8096
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,1,2019-08-14,0.26221208322603384,0.02515232781745321,0.42719599469430003,0.7878361075544174
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,2,2019-08-27,0.27040861798152527,0.008538945887119207,0.433246228136069,0.7959302325581395
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,3,2019-09-09,0.27860241176987965,0.0021365621924692665,0.4439896934386835,0.773517126148705
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,4,2019-09-20,0.29213175706671657,-0.0335680643772948,0.45214877607219356,0.7962508080155138
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,5,2019-10-03,0.3271477573386632,-0.10192010790894115,0.48734599643702287,0.7897671900378993
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,6,2019-10-16,0.3331089687497117,-0.08882120316726627,0.4956421345131148,0.7936077481840194
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,7,2019-10-29,0.33581790491792707,-0.08070857615294026,0.48753321977833103,0.7828060522696011
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,8,2019-11-11,0.3444066455396279,-0.07117049268452992,0.486443356688192,0.7948444444444445
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,9,2019-11-22,0.3623705842004219,-0.08442776010448691,0.49456426451058144,0.8054997817546923
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,10,2019-12-05,0.3665950734913965,-0.08094791144485358,0.49850695763553415,0.7916243654822336
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,11,2019-12-18,0.3738995382999046,-0.06886365192942748,0.5234251781076683,0.7930356411306841
464b0_00004,128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,12,2020-01-01,0.3678021953486657,-0.07393641763155742,0.49804098568435107,0.7929317269076306
