term,estimate,std_error,t_value,p_value,ci_lower,ci_upper
Intercept,0.49152856090883645,0.01218599929129825,40.335515304011714,0.0,0.4676444411822613,0.5154126806354117
C(declared_band)[T.1],0.39949786359991235,0.012200445652429922,32.744530403309135,3.632435657788519e-235,0.3755854295258114,0.4234102976740133
C(declared_band)[T.2],0.4059165495061529,0.012193923587898925,33.28842817327301,5.677726475441637e-243,0.38201689844363756,0.42981620056866826
C(declared_band)[T.3],-0.011474604002370695,0.0132890461752141,-0.8634633254395948,0.38788277522286363,-0.03752065589468009,0.014571447889938699
C(model)[T.profile_coherent_light_gcn],0.04519446522064997,0.004645983901688265,9.727641373063546,2.298608017693001e-22,0.03608850410058809,0.054300426340711846
C(model)[T.random_forest],-0.1455123410620729,0.013138252606259634,-11.075471405744208,1.6500944935643942e-28,-0.17126284299013128,-0.1197618391340145
C(split_index)[T.1],-0.020187502658669604,0.0027856660869878752,-7.246921213194735,4.2635180005242416e-13,-0.02564730786212046,-0.014727697455218748
C(split_index)[T.2],-0.02080712852147213,0.0032829507508693153,-6.337935016528185,2.32864998083012e-10,-0.027241593756194716,-0.014372663286749545
C(split_index)[T.3],0.006213251507856094,0.0032518232865043194,1.9106977718138194,0.05604343132911627,-0.00016020501778104494,0.012586708033493234
C(split_index)[T.4],-0.0059066363742562,0.0029049395170420173,-2.0333078673771112,0.042021428833686224,-0.011600213204925732,-0.00021305954358666682
C(split_index)[T.5],0.019505464529449783,0.002821446100842853,6.9132862483613975,4.7355301750327676e-12,0.013975531787476826,0.02503539727142274
C(split_index)[T.6],-0.005746722773250019,0.003003558444897073,-1.9133047945224684,0.05570904430714643,-0.011633589150709413,0.00014014360420937667
C(split_index)[T.7],-0.005814214261088617,0.0030004000228358143,-1.9378130305416206,0.05264603742567948,-0.011694890245059968,6.646172288273487e-05
C(split_index)[T.8],0.003376700155437583,0.0029840030772855172,1.1316007617891914,0.25780231969020095,-0.0024718384057987224,0.009225238716673887
C(split_index)[T.9],0.0024630894758893716,0.0028947230976092875,0.8508894954144677,0.3948307406513336,-0.003210463540641055,0.008136642492419799
C(split_index)[T.10],0.016692517239549808,0.0029367778053704585,5.683956480815251,1.3161378187214987e-08,0.010936538510427129,0.02244849596867249
C(split_index)[T.11],0.0019127281565410159,0.0029130633059600212,0.6566037039523459,0.5114357666405267,-0.0037967710078258094,0.007622227320907842
C(split_index)[T.12],-0.004434188261887557,0.0031374585484550037,-1.413305767520374,0.15756583891055187,-0.01058349401984668,0.0017151174960715661
C(split_index)[T.13],-0.007035315606179029,0.0030081196245110736,-2.338775209886315,0.019347070357197307,-0.012931121731408885,-0.001139509480949174
C(split_index)[T.14],-0.03905891027828536,0.0031022492875782703,-12.590513094702386,2.3812048787492014e-36,-0.04513920715300381,-0.03297861340356691
C(split_index)[T.15],-0.01364165449408826,0.0031343409425078545,-4.352319911685573,1.347045097326154e-05,-0.019784849856672983,-0.007498459131503536
C(split_index)[T.16],-0.015295640406936453,0.0031949200784712525,-4.787487646406264,1.6888212989486555e-06,-0.02155756869422399,-0.009033712119648915
C(split_index)[T.17],-0.020293600726206597,0.0032096818353282487,-6.322620673127,2.5716405010582087e-10,-0.026584461525282384,-0.01400273992713081
C(split_index)[T.18],-0.006562918714659207,0.0033293121570429633,-1.9712536419199203,0.0486948710056761,-0.013088250635754774,-3.7586793563638456e-05
C(split_index)[T.19],0.010249263266697789,0.003548581875889113,2.8882701950141114,0.0038736696630624627,0.0032941705937635435,0.017204355939632033
C(split_index)[T.20],0.010915179268460622,0.003415210717128764,3.19604855235323,0.0013932366494488007,0.004221489263273035,0.01760886927364821
C(split_index)[T.21],0.015611643542119637,0.003491281868397417,4.471607888046507,7.763367681022966e-06,0.008768856820182991,0.02245443026405628
C(split_index)[T.22],-0.010176329308521501,0.0034175321374284267,-2.977683573790423,0.0029043565954473467,-0.01687456921388941,-0.003478089403153595
C(split_index)[T.23],-0.031253638840454255,0.003239794930525849,-9.64679540238107,5.07158256520927e-22,-0.03760352022158037,-0.024903757459328144
C(split_index)[T.24],0.03836466148205605,0.0034092888108209073,11.25298078598932,2.2389524771563832e-29,0.03168257819995168,0.045046744764160415
C(split_index)[T.25],0.007516702609812144,0.0036697973603978507,2.048260945121297,0.040534437584020935,0.00032403195287219935,0.014709373266752087
C(split_index)[T.26],-0.013642417737807588,0.003428607775016899,-3.9789963253350984,6.920681048281132e-05,-0.020362365493954718,-0.0069224699816604575
C(split_index)[T.27],-0.019741404209128368,0.00386410833274539,-5.108915824599152,3.2401265389692005e-07,-0.02731491737367045,-0.012167891044586288
C(split_index)[T.28],-0.015098165099840558,0.0031568605186265025,-4.782651945107007,1.7299752619913363e-06,-0.02128549802056494,-0.008910832179116177
C(split_index)[T.29],0.002746714236986154,0.00323584026293947,0.848841108890527,0.3959697119718981,-0.003595416138099825,0.009088844612072133
C(split_index)[T.30],0.007943762106975661,0.0032251192355994785,2.4630909825878393,0.013774495722856063,0.001622644559353334,0.014264879654597988
C(split_index)[T.31],-0.008869284384170778,0.00320581685564541,-2.7666222942686387,0.00566403362243752,-0.015152569962267224,-0.002585998806074333
C(split_index)[T.32],-0.024166895088075006,0.00345693512234376,-6.990844268922856,2.732369272439263e-12,-0.030942363424760342,-0.01739142675138967
C(split_index)[T.33],-0.005937044282910684,0.003206576346410976,-1.8515212617830974,0.06409459884209238,-0.01222181843555423,0.000347729869732861
C(split_index)[T.34],-0.00868380236212765,0.003182037336847695,-2.729007061472859,0.006352534361108123,-0.014920480939810882,-0.002447123784444419
C(split_index)[T.35],-0.002990548004414702,0.0031899059624157637,-0.9375034999934341,0.34849962425006165,-0.00924264880481918,0.003261552795989774
C(split_index)[T.36],0.020637441346155513,0.003180095044508586,6.489567468051754,8.608315103544844e-11,0.014404569591504384,0.02687031310080664
C(split_index)[T.37],0.013364306512291412,0.0032310260691272154,4.136242242050823,3.5303950279644976e-05,0.007031611783692046,0.019697001240890778
C(split_index)[T.38],0.007479379824341325,0.003212298772572634,2.3283574641941893,0.019893130309792128,0.00118338992251674,0.01377536972616591
C(split_index)[T.39],0.006638637464270241,0.0033424329849874785,1.9861692049138007,0.04701453901658012,8.758919295607636e-05,0.013189685735584405
C(split_index)[T.40],-0.02481118788223206,0.00324686213775051,-7.641589580831954,2.1455616836625406e-14,-0.031174920734989786,-0.018447455029474334
C(split_index)[T.41],-0.0025181563963334193,0.0032942945681084888,-0.7643992801103058,0.44462933763060475,-0.00897485510429199,0.003938542311625151
C(split_index)[T.42],-0.016839651279227666,0.0035221370651905754,-4.781089142059413,1.7434802556410042e-06,-0.023742913075614797,-0.009936389482840534
C(split_index)[T.43],-0.0357998933430631,0.003331662373654052,-10.745354519161259,6.2322032735922815e-27,-0.04232983160407227,-0.029269955082053926
C(split_index)[T.44],0.00032179245609935425,0.0033423723535826945,0.0962766628183794,0.9233008453460071,-0.006229136979845102,0.00687272189204381
C(split_index)[T.45],-0.014898639899991744,0.0032355666898240235,-4.604646211388106,4.131676519760463e-06,-0.02124023408162431,-0.008557045718359177
C(split_index)[T.46],-0.021801515299111653,0.0033560339223351107,-6.496214222990414,8.236635046428725e-11,-0.028379220917783162,-0.015223809680440143
C(split_index)[T.47],-0.028136997056591777,0.003333281947450121,-8.441229244983578,3.140175899910445e-17,-0.034670109623911545,-0.02160388448927201
C(split_index)[T.48],-0.0049796071034223415,0.0033471069604968707,-1.4877346801857596,0.13682087786607644,-0.011539816198399538,0.0015806019915548548
C(split_index)[T.49],-0.020695896886235344,0.0034425619604912497,-6.011771791983103,1.8350652950231672e-09,-0.027443194343345793,-0.013948599429124894
C(split_index)[T.50],-0.018645437572117424,0.003453777668843523,-5.398563358700717,6.717664477571286e-08,-0.025414717413659436,-0.011876157730575413
C(split_index)[T.51],-0.029445385317350112,0.0033687723547276096,-8.74068717526358,2.3169675949546315e-18,-0.036048057804730416,-0.022842712829969806
C(split_index)[T.52],-0.002989473171226319,0.003375573734194077,-0.8856192773819115,0.37582272007397166,-0.00960547611740609,0.003626529774953453
C(split_index)[T.53],0.003976631779644174,0.003474484004645439,1.144524416957268,0.25240621770133476,-0.0028332317343213835,0.010786495293609732
C(split_index)[T.54],0.020110554794762953,0.003688102019464872,5.452819550170933,4.957737195132225e-08,0.012882007665302363,0.027339101924223543
C(split_index)[T.55],-0.0002066918316565457,0.0034859960281630304,-0.05929204450799772,0.9527194975314717,-0.0070391184971057615,0.00662573483379267
C(split_index)[T.56],0.0067230002085563074,0.0033541507436889158,2.0043822482356024,0.04502912941627431,0.00014898555220779416,0.01329701486490482
C(split_index)[T.57],0.020915219397244993,0.0033853589613191707,6.178139345404888,6.486145644258879e-10,0.014280037758319493,0.027550401036170492
C(split_index)[T.58],-0.0038429840181309267,0.003300466145331821,-1.1643761362516756,0.24427161413026532,-0.010311778795175036,0.002625810758913182
C(split_index)[T.59],-0.0005618916437994004,0.0034628329720278726,-0.1622635709946907,0.8710983005960016,-0.007348919553451827,0.006225136265853026
