declared_band,model,split_index,predicted_pc,ci_lower,ci_upper,band_label,model_display
0,light_gcn,36,0.512166002254992,0.4883829350997662,0.5359490694102177,Conservative,LightGCN
0,profile_coherent_light_gcn,36,0.5573604674756419,0.5323835948712575,0.5823373400800264,Conservative,Profile-Coherent LightGCN
0,random_forest,36,0.3666536611929191,0.36057072757869657,0.3727365948071416,Conservative,Random Forest
1,light_gcn,36,0.9116638658549043,0.9069923190330332,0.9163354126767754,Income,LightGCN
1,profile_coherent_light_gcn,36,0.9690627405170876,0.9650417408024018,0.9730837402317735,Income,Profile-Coherent LightGCN
1,random_forest,36,0.5715216479646942,0.5683681006017636,0.5746751953276248,Income,Random Forest
2,light_gcn,36,0.918082551761145,0.9134240087471395,0.9227410947751504,Balanced,LightGCN
2,profile_coherent_light_gcn,36,0.9480248541099157,0.9440006995110318,0.9520490087087995,Balanced,Profile-Coherent LightGCN
2,random_forest,36,0.8134814501119376,0.8106519743909706,0.8163109258329047,Balanced,Random Forest
3,light_gcn,36,0.5006913982526213,0.4893561627411782,0.5120266337640644,Aggressive,LightGCN
3,profile_coherent_light_gcn,36,0.502954180607659,0.4905213221710383,0.5153870390442796,Aggressive,Profile-Coherent LightGCN
3,random_forest,36,0.6892316276845655,0.6855053179013908,0.6929579374677401,Aggressive,Random Forest
