trial_id,number_of_estimators,max_depth,random_state,prediction_horizon_months,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k
f6f2b_00002,50,,42,6,0,2019-08-01,0.002336329202737841,0.0043627934576598104,0.0030666666666666663,0.71504
f6f2b_00002,50,,42,6,1,2019-08-14,0.027958295292993887,0.03464774448393577,0.0698387293457716,0.6448143405889885
f6f2b_00002,50,,42,6,2,2019-08-27,0.028980321035584553,0.040468714451724494,0.07851925829282011,0.6291666666666668
f6f2b_00002,50,,42,6,3,2019-09-09,0.027810779881821644,0.035108563301185065,0.07549941424517571,0.7111946532999165
f6f2b_00002,50,,42,6,4,2019-09-20,0.003206999387124522,-0.00521198938638628,0.004806370864800926,0.6513251454427925
f6f2b_00002,50,,42,6,5,2019-10-03,0.04476818591612873,-0.05349827394740855,0.10539771835414372,0.6994044396318354
f6f2b_00002,50,,42,6,6,2019-10-16,0.009672181087064503,-0.05205615963269578,0.01766192553591227,0.6678450363196126
f6f2b_00002,50,,42,6,7,2019-10-29,0.009434087153318055,-0.04799843828354792,0.015078043473927728,0.666987620357634
f6f2b_00002,50,,42,6,8,2019-11-11,0.00970767222319751,-0.014813102593407415,0.019069263673879386,0.6845777777777777
f6f2b_00002,50,,42,6,9,2019-11-22,0.01026585736276775,-0.013956442731247742,0.022699206525859893,0.6693147097337407
f6f2b_00002,50,,42,6,10,2019-12-05,0.010771546282849351,-0.02384025381947508,0.019052451461707504,0.7105752961082911
f6f2b_00002,50,,42,6,11,2019-12-18,0.0028033262186383566,-0.015539864860244425,0.004845846340523958,0.6837361736993036
f6f2b_00002,50,,42,6,12,2020-01-01,0.0038176205837388553,-0.013833155276673066,0.006753125539104382,0.6852208835341366
f6f2b_00002,50,,42,6,13,2020-01-14,0.002974360094209056,0.01931444986915316,0.005423079833012839,0.682030620467365
f6f2b_00002,50,,42,6,14,2020-01-27,0.0024706314932583595,-0.02144770650525733,0.005845364415833402,0.5756647864625302
f6f2b_00002,50,,42,6,15,2020-02-07,0.001124896110333105,-0.018604500457115866,0.0022783120527481433,0.6178780284043442
f6f2b_00002,50,,42,6,16,2020-02-20,0.0026145643706732146,-0.0232830848404891,0.006194762517094279,0.6195456493784827
f6f2b_00002,50,,42,6,17,2020-03-04,0.035744859324778264,-0.033360417392982386,0.053189046548527984,0.684188432835821
f6f2b_00002,50,,42,6,18,2020-03-17,0.02879754205977085,0.06047250478610926,0.06297075087670642,0.6495075168481079
f6f2b_00002,50,,42,6,19,2020-03-30,0.019093233921132522,0.0250894062143996,0.03933756981721662,0.7501675977653631
f6f2b_00002,50,,42,6,20,2020-04-10,0.021577286032145534,0.0194838381872224,0.04427753074811898,0.6914285714285714
f6f2b_00002,50,,42,6,21,2020-04-23,0.006843625133767124,0.013218356153400819,0.015873925186463043,0.7376741368867353
f6f2b_00002,50,,42,6,22,2020-05-06,0.008358277889575504,0.014556534381350024,0.015048328456149685,0.6909373060211048
f6f2b_00002,50,,42,6,23,2020-05-19,0.01796290207297539,-0.014673360993111981,0.039222407339495946,0.62
f6f2b_00002,50,,42,6,24,2020-06-01,0.004514779726470697,0.01581191934515884,0.008582886021910412,0.7362557679630851
f6f2b_00002,50,,42,6,25,2020-06-12,0.05682110684744644,0.017152114628667496,0.08027327995298325,0.7188132164531356
