trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,profile_embedding_enabled,profile_coherence_enabled,profile_coherence_lambda,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,0,2019-08-01,0.29086201900690944,-0.0017032119265896401,0.4699527272727273,0.81088
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,1,2019-08-14,0.2736691194684749,0.025123040690320744,0.4427095725694807,0.7906530089628682
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,2,2019-08-27,0.2994426376658429,0.006681536518513746,0.464518578739815,0.7781007751937985
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,3,2019-09-09,0.2995390299868395,0.0013452282207311397,0.4746823057526286,0.7729323308270677
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,4,2019-09-20,0.3220640320507381,-0.03843906974143451,0.5030689749786773,0.7954751131221719
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,5,2019-10-03,0.34969166156440806,-0.10923955149730458,0.5230752037286429,0.8011911207363291
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,6,2019-10-16,0.3641326833202135,-0.09411612481314784,0.5348788887180544,0.7988861985472155
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,7,2019-10-29,0.3733438301027891,-0.08652662298015956,0.5324982121219465,0.7910132966529115
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,8,2019-11-11,0.3793501482914313,-0.07748157934132607,0.5396349222140008,0.8022666666666667
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,9,2019-11-22,0.3833943977850789,-0.09224470807137458,0.5430496446613603,0.8112614578786556
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,10,2019-12-05,0.38883903502307315,-0.0891134852008983,0.5334853183246205,0.7808798646362098
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,11,2019-12-18,0.40305911966593694,-0.0738874702084712,0.5498536906320041,0.791151167554281
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,12,2020-01-01,0.4019187207644193,-0.07895536668718264,0.5450862808408009,0.7882329317269077
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,13,2020-01-14,0.40571722814746086,-0.07814993291384549,0.5543688591433978,0.7874294923448832
464b0_00000,128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,14,2020-01-27,0.40311215111970916,-0.08106232113146193,0.5515762440842658,0.7862610797743755
