embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,profile_embedding_enabled,profile_coherence_enabled,profile_coherence_lambda,average_ndcg,average_roi,average_recall,average_profile_coherence
64,3,0.001,1e-05,0.6,50,1024,False,False,0.5,0.32887222176638087,-0.005524863317110648,0.4938263259068683,0.7934142090993024
64,3,0.001,1e-05,0.6,50,1024,False,True,0.5,0.32332730572960594,-0.005151337056174416,0.4857575186508531,0.828342854892422
64,3,0.001,1e-05,0.6,50,1024,True,False,0.5,0.3147324590406392,-0.004367955700465947,0.47960707204288794,0.7840324454892914
64,3,0.001,1e-05,0.6,50,1024,True,True,0.5,0.29598589854194135,-0.004142703781636577,0.4474334223234066,0.8614234368018394
64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,0.31522249632641614,-0.004449634596472266,0.4800231680252273,0.7884522375953138
64,3,0.001,1e-05,0.6,50,1024,True,True,1.0,0.20512596704062086,-0.0018787529303571826,0.3275484074163145,0.9374220052942632
64,3,0.001,1e-05,0.6,50,1024,True,True,2.0,0.14554685350366908,-0.0007588594749001369,0.22018213725028996,0.9691231616227753
