embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,profile_embedding_enabled,profile_coherence_enabled,profile_coherence_lambda,average_ndcg,average_roi,average_recall,average_profile_coherence
128,2,0.001,1e-05,0.6,50,1024,False,False,0.5,0.32864007516757515,-0.005920146068119057,0.4915765932230793,0.7874953513221838
128,2,0.001,1e-05,0.6,50,1024,False,True,0.5,0.3005086777346001,-0.0017835791428732833,0.4336796445850552,0.8877410186834194
128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,0.3104104493519726,-0.004649064118567841,0.47275940970702657,0.7796750138723125
128,2,0.001,1e-05,0.6,50,1024,True,True,0.5,0.24098944676702433,-0.0023842292769028516,0.3804598251441443,0.914922240246281
128,2,0.001,1e-05,0.6,50,1024,True,True,0.1,0.310608542236801,-0.004592370336771769,0.4726708169603103,0.786784692138891
128,2,0.001,1e-05,0.6,50,1024,True,True,1.0,0.18392729227799345,-0.0013465013010622539,0.28703447099579504,0.9338469857832351
128,2,0.001,1e-05,0.6,50,1024,True,True,2.0,0.17503890530967733,-0.0015112171698196289,0.26391812369063616,0.936121162593914
