term,estimate,std_error,t_value,p_value,ci_lower,ci_upper
Intercept,0.49929524419535287,0.012135497427642519,41.14336863176671,0.0,0.4755101063026951,0.5230803820880107
C(declared_band)[T.1],0.39942827278394627,0.012235378964130425,32.6453536057135,9.327114613240981e-234,0.37544737067705164,0.4234091748908409
C(declared_band)[T.2],0.4057432327075754,0.01222957701158101,33.177209017396905,2.2952628440918203e-241,0.38177370221871765,0.42971276319643315
C(declared_band)[T.3],-0.01160231247350709,0.01332087830023949,-0.8709870484514896,0.3837612248486799,-0.037710754184417626,0.014506129237403445
C(model)[T.profile_coherent_light_gcn],0.39650336574420825,0.00982752988557277,40.34618773597341,0.0,0.3772417611114946,0.4157649703769219
C(model)[T.random_forest],-0.14551234106207372,0.013138252606259749,-11.075471405744175,1.6500944935650213e-28,-0.17126284299013234,-0.11976183913401511
C(split_index)[T.1],-0.01685603159208245,0.002162890490258461,-7.793289428198552,6.528684113910286e-15,-0.021095219055493213,-0.012616844128671685
C(split_index)[T.2],-0.035472693204009774,0.002417137001250869,-14.675499645097753,9.253144236191902e-49,-0.040210194672160623,-0.030735191735858924
C(split_index)[T.3],-0.0020138024220642038,0.002480437524515364,-0.8118738739278132,0.41686400713711735,-0.006875370636016004,0.002847765791887597
C(split_index)[T.4],-0.013074256915152689,0.0022705763231777192,-5.758122632431484,8.505455798385956e-09,-0.017524504732730397,-0.008624009097574981
C(split_index)[T.5],0.01702438279092777,0.002132282753194433,7.98411128422019,1.4153829208983714e-15,0.01284518538981077,0.02120358019204477
C(split_index)[T.6],-0.015467364019483237,0.0022628416253390048,-6.83537188209803,8.17925688965534e-12,-0.019902452107865766,-0.011032275931100708
C(split_index)[T.7],-0.010613430720031096,0.0023055481646255776,-4.603430491227549,4.155879420830136e-06,-0.015132222087319652,-0.00609463935274254
C(split_index)[T.8],0.003046882815314886,0.002306525663385069,1.320983704487929,0.18650679774702428,-0.0014738244143372055,0.007567590044966977
C(split_index)[T.9],-0.007555510198872608,0.0022765635347494055,-3.3188224635708603,0.0009039788250119313,-0.012017492735498642,-0.003093527662246574
C(split_index)[T.10],0.007633605875415773,0.0022589864323190375,3.3792172304369448,0.0007269254464599301,0.003206073826505831,0.012061137924325714
C(split_index)[T.11],0.0017130228173698353,0.0021659204473696574,0.7908983081304619,0.4290033357665787,-0.0025321032528535753,0.005958148887593245
C(split_index)[T.12],-0.00873566281603931,0.0024869016555208803,-3.5126691868358706,0.0004436294581857796,-0.013609900493953272,-0.0038614251381253496
C(split_index)[T.13],-0.014953960607452391,0.002322729190542214,-6.438099055345132,1.2097904279919247e-10,-0.019506426166755002,-0.01040149504814978
C(split_index)[T.14],-0.03973618085163015,0.0023790415011281543,-16.70260095621999,1.254739084464983e-62,-0.04439901651156744,-0.03507334519169286
C(split_index)[T.15],-0.021291644739446326,0.0023830096534985484,-8.93477066204394,4.080236452726951e-19,-0.025962257835114754,-0.016621031643777897
C(split_index)[T.16],-0.009424645394725945,0.0025888094602619103,-3.640532661593585,0.0002720745895917847,-0.014498618699675865,-0.004350672089776025
C(split_index)[T.17],-0.018295765963435188,0.0023598842898056123,-7.75282332378349,8.987161843276115e-15,-0.02292105417913607,-0.013670477747734305
C(split_index)[T.18],-0.007404567546418289,0.0024719304945735212,-2.9954594446215563,0.002740317388207641,-0.012249462288068674,-0.002559672804767904
C(split_index)[T.19],0.016635376107177326,0.002831043207254889,5.876058713815166,4.201493591121708e-09,0.01108663338228098,0.022184118832073673
C(split_index)[T.20],0.001258874054229183,0.002812114819376596,0.44766097228855567,0.6543978920676604,-0.004252769712140305,0.006770517820598671
C(split_index)[T.21],0.010739529251659588,0.002706470960623909,3.968093287497849,7.244997470300209e-05,0.005434943643633204,0.016044114859685973
C(split_index)[T.22],-0.011563078305035588,0.002539275771644096,-4.553691424208282,5.271266089747914e-06,-0.01653996736427317,-0.006586189245798005
C(split_index)[T.23],-0.03509307964429141,0.002460643754946511,-14.26174738774986,3.788481329932497e-46,-0.039915852782769976,-0.030270306505812847
