trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,0,2019-08-01,0.29658885750128766,-0.0024495118844085765,0.4825006060606061,0.80912
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,1,2019-08-14,0.27515696551406627,0.026744856153639057,0.4539212553240572,0.7888604353393086
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,2,2019-08-27,0.3006665825348439,0.007593191754393822,0.4763528684810815,0.7903100775193799
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,3,2019-09-09,0.30023773008716753,0.0022470842306840334,0.48018225877027293,0.782623224728488
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,4,2019-09-20,0.316335036772256,-0.03574641415782554,0.49096950492486274,0.7967679379444085
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,5,2019-10-03,0.3516852313379789,-0.10628070031478407,0.5275492935025076,0.7942068218733082
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,6,2019-10-16,0.36674270483815874,-0.09264311248725311,0.5420491106846018,0.7956900726392252
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,7,2019-10-29,0.37541727355432036,-0.0882828610955162,0.5313785311138336,0.7933516735442457
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,8,2019-11-11,0.38422489225191897,-0.07703423794809597,0.5464666106613039,0.8045333333333333
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,9,2019-11-22,0.390402302579761,-0.09194030410213272,0.5519945838250042,0.8165866433871671
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,10,2019-12-05,0.3905063769842178,-0.08932489840514195,0.5385968819408578,0.7910744500846024
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,11,2019-12-18,0.40582102235776935,-0.0734828224225225,0.5560341828159664,0.7979926259729619
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,12,2020-01-01,0.4037149498251523,-0.07900808698572648,0.54826703713383,0.8026506024096386
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,13,2020-01-14,0.41013385226997995,-0.07676212089204541,0.5663129005403715,0.7925866236905721
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,14,2020-01-27,0.40478616484982904,-0.0811088436960662,0.5549530648495186,0.784488315874295
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,15,2020-02-07,0.4116897600116303,-0.07920353569326276,0.5705919810804595,0.8037593984962407
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,16,2020-02-20,0.42382109627903375,-0.0841102551795913,0.5826570824071351,0.7965709387055294
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,17,2020-03-04,0.4244738377622927,-0.04716892136434945,0.5828751986430806,0.7887126865671642
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,18,2020-03-17,0.42622817316337647,0.04802938009581773,0.5785884619248447,0.7932089165370658
4f17d_00007,128,3,0.001,1e-05,0.6,50,1024,19,2020-03-30,0.4195338503235511,0.02106462061831133,0.5791668402307216,0.7927932960893854
