trial_id,number_of_estimators,max_depth,random_state,prediction_horizon_months,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
df0bd_00006,40,15,42,6,0,2019-08-01,0.0024722253040400438,0.005549110326771721,0.002853333333333333,0.6766399999999999,1.0324418934747401
df0bd_00006,40,15,42,6,1,2019-08-14,0.026667362891238337,0.03534856381362429,0.0698387293457716,0.6445582586427656,0.9797502358233792
df0bd_00006,40,15,42,6,2,2019-08-27,0.029164273830871675,0.038988492229794364,0.07819626087679943,0.6160852713178294,1.0067092015720385
df0bd_00006,40,15,42,6,3,2019-09-09,0.006391768883240471,0.035782721690983336,0.00927197696510685,0.658563074352548,1.0687345445271021
df0bd_00006,40,15,42,6,4,2019-09-20,0.003774262621663178,-0.014316567453827008,0.0055590023350204345,0.6363930187459599,1.0025821426241857
df0bd_00006,40,15,42,6,5,2019-10-03,0.06368247631210272,-0.06397932060901247,0.1412866529835679,0.7022198159177044,1.1448870510723141
df0bd_00006,40,15,42,6,6,2019-10-16,0.01742589994639894,-0.0618566465204409,0.03294023698142088,0.6521549636803873,1.0012553661737174
df0bd_00006,40,15,42,6,7,2019-10-29,0.0098984427361173,-0.02939784554579561,0.015715782626109797,0.6686382393397524,1.0510371549550854
df0bd_00006,40,15,42,6,8,2019-11-11,0.009322048128017306,-0.024671810205050063,0.016726498702888608,0.6540888888888888,0.9991843210299196
df0bd_00006,40,15,42,6,9,2019-11-22,0.011878151239366691,-0.02470629917459254,0.025703999897895992,0.6794412920122218,1.0058660449217043
df0bd_00006,40,15,42,6,10,2019-12-05,0.00990079067718231,-0.01842316309767892,0.01898981316937378,0.7103214890016921,1.0998054978303746
df0bd_00006,40,15,42,6,11,2019-12-18,0.006112932813228368,-0.02803938941453764,0.012523041500377405,0.6561655059401885,0.9461500669135277
df0bd_00006,40,15,42,6,12,2020-01-01,0.002520585336559638,-0.0005330977220257268,0.004930408005599237,0.6867068273092369,0.9863490205135836
df0bd_00006,40,15,42,6,13,2020-01-14,0.0021578316577210476,0.024784586498734572,0.0032307275498250523,0.6220789685737309,0.9608320467643914
df0bd_00006,40,15,42,6,14,2020-01-27,0.005452911080412778,-0.028610756364314514,0.011973679225002767,0.6653505237711523,1.0758586497767908
df0bd_00006,40,15,42,6,15,2020-02-07,0.001134784465812503,-0.02838769270823905,0.002330525920751485,0.6345864661654136,0.976467963935127
df0bd_00006,40,15,42,6,16,2020-02-20,0.003849543757452066,-0.020460997602883363,0.009375153588612654,0.5762108872696099,0.9302887525327851
df0bd_00006,40,15,42,6,17,2020-03-04,0.03465368977778115,-0.03245422293796493,0.052994928563026525,0.5820429104477611,0.9055427758608114
df0bd_00006,40,15,42,6,18,2020-03-17,0.0324362555922285,0.058643303163025955,0.06261074857269168,0.6715396578538103,1.1182756238502398
df0bd_00006,40,15,42,6,19,2020-03-30,0.0208122330072927,0.01763822172553131,0.042837260960823235,0.7106703910614525,1.1107653187715665
df0bd_00006,40,15,42,6,20,2020-04-10,0.021759392997794846,0.017975019217594302,0.04180278327337151,0.7060714285714286,1.093829163119748
df0bd_00006,40,15,42,6,21,2020-04-23,0.00533218801457679,0.01317350867457192,0.01118800944664058,0.7377347062386432,1.1336409813644914
df0bd_00006,40,15,42,6,22,2020-05-06,0.05875474225805284,0.0107135632322298,0.1480742783521378,0.7505896958410925,1.069072299782157
df0bd_00006,40,15,42,6,23,2020-05-19,0.01613882669114567,-0.020236861095624063,0.03906417949139468,0.6632278481012659,1.0383810466387264
df0bd_00006,40,15,42,6,24,2020-06-01,0.011683996423767808,0.016022611511081794,0.031169782389294583,0.7861568885959129,1.2282612307957754
df0bd_00006,40,15,42,6,25,2020-06-12,0.04780169154498775,0.017362739853586388,0.08813007251982304,0.7169251517194876,1.0784566155844078
df0bd_00006,40,15,42,6,26,2020-06-25,0.10254248710633615,0.020668414194999325,0.235713221865875,0.6494036409290647,1.0645831404965294
df0bd_00006,40,15,42,6,27,2020-07-08,0.014421541192586757,0.036175252849123096,0.016216567070269867,0.6594434576672588,1.0751258789401719
df0bd_00006,40,15,42,6,28,2020-07-21,0.022755699246741774,0.06636758387281219,0.033745779856031465,0.6905520774046671,1.1140553927256285
df0bd_00006,40,15,42,6,29,2020-08-03,0.03152841716546594,0.0354469909708862,0.06432092871871105,0.7152017689331122,1.0807425568760598
df0bd_00006,40,15,42,6,30,2020-08-14,0.04794996313130893,0.03271227410393648,0.09133186024004446,0.6606741573033708,1.0689752441205551
df0bd_00006,40,15,42,6,31,2020-08-27,0.05182627288480403,0.046090976399025554,0.07843711315829328,0.7255386232264845,1.1571166338124026
df0bd_00006,40,15,42,6,32,2020-09-09,0.004947206516182811,0.055412218207779286,0.008086538691634643,0.6364646464646465,0.9880822817140538
df0bd_00006,40,15,42,6,33,2020-09-22,0.007780218552515271,0.03510945133126733,0.011916203710856011,0.6498254364089775,1.0334714513744023
df0bd_00006,40,15,42,6,34,2020-10-05,0.008050268213045718,0.019255876244398066,0.014409748192690124,0.6905308464849355,1.084955615006087
df0bd_00006,40,15,42,6,35,2020-10-16,0.009438678082067699,0.018206484981958825,0.016033203031968563,0.7000451875282422,1.0756826923262603
df0bd_00006,40,15,42,6,36,2020-10-29,0.007187870624219251,0.04211036133311078,0.0131321466429747,0.7364870784056067,1.096694219740856
df0bd_00006,40,15,42,6,37,2020-11-11,0.008107238405659271,0.030940697874380398,0.01594913230518362,0.7262708244340026,1.1114341153439096
df0bd_00006,40,15,42,6,38,2020-11-24,0.003547223064779794,0.03994530194869528,0.008465226538910749,0.7047157894736842,1.1058424467635204
df0bd_00006,40,15,42,6,39,2020-12-07,0.06686338441729917,-0.01255356812490175,0.1648931484407925,0.6949017969076473,1.1435798057388764
df0bd_00006,40,15,42,6,40,2020-12-18,0.001987617025343149,0.04469523657638634,0.004552248100635197,0.6259372275501308,1.0093563919107296
df0bd_00006,40,15,42,6,41,2021-01-01,0.009723674822511604,0.0628115006780827,0.024695373456435403,0.7220353982300884,1.1621822784754026
df0bd_00006,40,15,42,6,42,2021-01-14,0.009764342372355177,0.04338303127155799,0.02412045853648389,0.595925758261657,0.973216669184006
df0bd_00006,40,15,42,6,43,2021-01-27,0.0016999140970150482,0.030048701505916115,0.0029165896313120866,0.6269703872437358,1.0140812394522187
