trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,profile_embedding_enabled,profile_coherence_enabled,profile_coherence_lambda,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,0,2019-08-01,0.2738542761330329,-0.0009221839601873091,0.4534619336219336,0.81552,1.1960240424897959
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,1,2019-08-14,0.2638529220226786,0.025438949818508874,0.42866118675412945,0.7911651728553136,1.1625828203664725
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,2,2019-08-27,0.28353647444081603,0.00853750559686696,0.4438653059789841,0.7968023255813954,1.1722184119160683
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,3,2019-09-09,0.2721079924669534,0.002722339829701261,0.44267037285613137,0.787468671679198,1.1639095746527564
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,4,2019-09-20,0.29789612524748077,-0.034017892197340624,0.45795922173681614,0.7968972204266321,1.1781000426875006
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,5,2019-10-03,0.3326296069373111,-0.10175871107552607,0.5003878582563525,0.7909041689225771,1.1708872946981097
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,6,2019-10-16,0.3462151370797333,-0.08753590475090706,0.518836048956139,0.7957384987893462,1.1769955150279618
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,7,2019-10-29,0.3504385990743829,-0.08361315738434988,0.5062752734148948,0.7839523154516277,1.1532907219788175
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,8,2019-11-11,0.3562697039786102,-0.07166477666494198,0.506502722195893,0.7935555555555556,1.1826478977266215
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,9,2019-11-22,0.36360191647521395,-0.08586548930136848,0.5111009334273079,0.8147533828022698,1.2158142745040825
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,10,2019-12-05,0.37749451614411184,-0.08353731426165897,0.5224761855183578,0.7950507614213198,1.1661361134258055
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,11,2019-12-18,0.38719258898714926,-0.06991781156794549,0.5311893742706469,0.8031544448996313,1.1806513921852158
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,12,2020-01-01,0.3759214374594169,-0.07315509076624528,0.5167724440598603,0.7917269076305221,1.1766427993576578
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,13,2020-01-14,0.36918054413615,-0.07241804234151177,0.5060554473301725,0.7803787268331991,1.1572861942699968
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,14,2020-01-27,0.37665954129787654,-0.0773026934153716,0.5210820251997236,0.7881950040290089,1.1782163736580908
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,15,2020-02-07,0.3796431112038888,-0.07484416448031907,0.5281317233295016,0.7972848788638263,1.1855919289096117
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,16,2020-02-20,0.40948632250674577,-0.08191362613345768,0.5644854459757473,0.8071153021860266,1.189868511576908
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,17,2020-03-04,0.40876897466932477,-0.04464954518130374,0.5739491441164443,0.7965951492537314,1.1854421758719909
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,18,2020-03-17,0.398033868056004,0.04600536175602304,0.5690974709362779,0.7897874546397097,1.1647844480465386
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,19,2020-03-30,0.40260785441462416,0.019854149717072805,0.5718333023657789,0.7872067039106144,1.1605191186381025
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,20,2020-04-10,0.3822378507921501,0.011404193081706794,0.5594162095685205,0.7795238095238095,1.1468718550328394
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,21,2020-04-23,0.36529561447733044,0.002187471625395605,0.5368432025609494,0.7812840702604482,1.14435241831013
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,22,2020-05-06,0.3684107306018653,0.009831551400852156,0.5408111939352751,0.7807572936064556,1.1465089063213854
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,23,2020-05-19,0.36348900469399437,-0.008402742606086307,0.5629170038821938,0.7740506329113924,1.132389456058169
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,24,2020-06-01,0.35982915764079726,-0.0005391363038158793,0.5518151810834738,0.7748846407382993,1.1290765677581585
