trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,18,2020-03-17,0.3878662246277347,0.04471484468973835,0.5506272865297657,0.7801451529289788
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,19,2020-03-30,0.3689345208770679,0.019423734297758625,0.5441190352223515,0.7781564245810056
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,20,2020-04-10,0.3720290024161708,0.010038027025264715,0.5468979936574474,0.7683333333333333
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,21,2020-04-23,0.3542224738881214,0.00013087324873170748,0.5359671588926586,0.7755905511811023
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,22,2020-05-06,0.3492389041632892,0.007453532715450358,0.5384516716036857,0.7668528864059591
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,23,2020-05-19,0.3673443289391852,-0.01167582656987075,0.5498767301615403,0.7604430379746835
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,24,2020-06-01,0.3485979083086104,-0.0015367567709833828,0.5400276095398047,0.7721819380355966
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,25,2020-06-12,0.35203711961230677,0.014631362878322235,0.5451781441270156,0.7782872555630479
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,26,2020-06-25,0.36702600974556787,0.033571260630424336,0.5516958354390502,0.7927181418706842
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,27,2020-07-08,0.3580320115697015,0.03983093751852097,0.5421611385898377,0.7779159265837774
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,28,2020-07-21,0.3718771536653001,0.04741290685874362,0.5519688166134226,0.7801935116676152
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,29,2020-08-03,0.38099825560747014,0.04957924291862866,0.5553808179840599,0.7821448313985628
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,30,2020-08-14,0.36401818412168657,0.028565740466930792,0.5449420821768992,0.7800963081861958
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,31,2020-08-27,0.37817292411680065,0.03178253631095452,0.5487116952065737,0.7631108775617447
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,32,2020-09-09,0.36294620540475664,0.03790143034250141,0.5281215586379706,0.773989898989899
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,33,2020-09-22,0.37517799649131905,0.049248326468508054,0.5407229865185565,0.7748129675810473
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,34,2020-10-05,0.3686149922857976,0.050607097556356125,0.5367408788186048,0.7700143472022956
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,35,2020-10-16,0.3801653288169221,0.052200057242825317,0.5599803594187347,0.778852236782648
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,36,2020-10-29,0.37038331718943945,0.07624752864532042,0.5339147390212253,0.7884362680683311
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,37,2020-11-11,0.3536634001765385,0.047378456544335285,0.5173034918462419,0.7756087142246904
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,38,2020-11-24,0.36320520634756437,0.02367031829288133,0.5191184317010258,0.7818526315789474
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,39,2020-12-07,0.356567051130006,0.003451554690629969,0.5196988172337967,0.7858336815712494
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,40,2020-12-18,0.340636289256564,0.003838370035744157,0.506708161695374,0.7884045335658239
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,41,2021-01-01,0.330785576692794,0.00870201389213472,0.4867441332133519,0.7795132743362833
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,42,2021-01-14,0.32611583360940666,0.00782828480110756,0.49459767189705367,0.7840651878678135
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,43,2021-01-27,0.31304652407267297,0.018408527187105204,0.48513928589979205,0.7871981776765377
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,44,2021-02-09,0.326582664605314,0.010529546133307232,0.48771498684181624,0.7847727272727273
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,45,2021-02-22,0.30889060988882683,0.015832034640185177,0.4741628859257553,0.777141548327989
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,46,2021-03-05,0.30083084904283364,0.009306688401874704,0.45800963892695196,0.774245939675174
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,47,2021-03-18,0.21470423693156393,0.010787814941742292,0.32768810697585854,0.7657980456026059
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,48,2021-03-31,0.2560394329996013,0.005723428966912858,0.4096259581655492,0.7785645933014355
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,49,2021-04-13,0.24985640379121998,-0.0018883856688578437,0.400383419467601,0.7844655344655345
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,50,2021-04-26,0.2378864921466938,-0.0035541159167640957,0.3861755770825496,0.793762781186094
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,51,2021-05-07,0.23388067131140608,0.008258989759685522,0.3820907046192787,0.7749741468459151
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,52,2021-05-20,0.20794264869695306,0.005770220929192633,0.33959260904511457,0.7846038863976084
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,53,2021-06-02,0.20394039521780694,0.01000617606312453,0.34660531389233507,0.7791479820627802
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,54,2021-06-15,0.2183556698391869,-0.0021961457333800416,0.36517413578247204,0.7857223476297969
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,55,2021-06-28,0.21484776216415852,-0.0016697522872146787,0.36806223155394857,0.7870411568409343
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,56,2021-07-09,0.22220022779572954,-0.0015452611268835334,0.3711235943973782,0.771848501978519
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,57,2021-07-22,0.21126725628062648,0.0050445861828053995,0.36742362339295526,0.7883351588170865
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,58,2021-08-04,0.2148315731863153,0.0035598649926853413,0.37168269981647495,0.7912951167728237
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,59,2021-08-17,0.2311886998033068,-0.0020628943637880375,0.38197267298075777,0.7807750377453447
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,60,2021-08-30,0.2267622930988598,-0.00780685848125071,0.38447866691821075,0.7779272546088689
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,61,2021-09-10,0.22813339721837048,-0.0016524556266068796,0.3771655601084513,0.7825380710659898
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,62,2021-09-23,0.2450479665838022,-0.014646163402322342,0.39495964473770434,0.7782168674698795
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,63,2021-10-06,0.2607547875375279,-0.010219541170827559,0.41743044524351236,0.7808014911463187
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,64,2021-10-19,0.270090576226523,-0.011504378303110699,0.4303661028466616,0.7798054654932839
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,65,2021-11-01,0.2672589501272301,-0.006368400924363647,0.42875859920039444,0.7820476858345021
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,66,2021-11-12,0.17922826035309872,-0.006091849064813245,0.2751996412710699,0.7597490347490348
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,67,2021-11-25,0.2688404740892662,-0.015304693052653204,0.4227304161862474,0.7874204601076848
4f17d_00001,128,2,0.01,1e-05,0.6,50,1024,68,2021-12-08,0.2647555942916195,-0.01553236727622679,0.4154465588676115,0.7752252252252253
