trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,0,2019-08-01,0.26751717769322175,-0.0028169474900731927,0.44909870129870133,0.7870400000000001,1.1488244940922272
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,1,2019-08-14,0.25473470337251597,0.024158974602013102,0.42465579536077386,0.7685019206145968,1.1290987044866811
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,2,2019-08-27,0.2795972743596867,0.007102031036302738,0.4459756256765131,0.7690891472868218,1.150340942928684
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,3,2019-09-09,0.2756887946905655,0.0016479909083854595,0.43835640650840413,0.7664160401002507,1.1411580253340814
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,4,2019-09-20,0.28552783924046116,-0.0346595606199664,0.45336346398835137,0.7764705882352941,1.1561841575011595
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,5,2019-10-03,0.31183134336361473,-0.10052133395914525,0.47915747422186267,0.7779642663779102,1.1639267228895018
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,6,2019-10-16,0.3373789827173244,-0.0866094425415167,0.49488524435763465,0.7788377723970944,1.163468012905236
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,7,2019-10-29,0.3395499341770415,-0.08063381093759016,0.49152908419860986,0.7700137551581844,1.139490969822094
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,8,2019-11-11,0.3456387357035475,-0.0711161415236192,0.4996085059167133,0.7782222222222223,1.1581522919372056
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,9,2019-11-22,0.3420888977283612,-0.08291643059491993,0.4892573419955704,0.7982976865997381,1.1944245216066123
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,10,2019-12-05,0.3534417469672714,-0.07909493745458666,0.4980727873237834,0.7748307952622674,1.1487451122726802
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,11,2019-12-18,0.35395232954034284,-0.06714764370276481,0.50605430974716,0.7727980335927899,1.1535676439128462
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,12,2020-01-01,0.36434133514462175,-0.07165127890456334,0.5115464188023736,0.7746586345381526,1.1532347921933228
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,13,2020-01-14,0.3650176099470597,-0.07293153646893144,0.5087067791341183,0.7885979049153908,1.1827564769733923
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,14,2020-01-27,0.36394865298680845,-0.07726110963016583,0.5064025377781148,0.779331184528606,1.1740962476651469
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,15,2020-02-07,0.3780448045577366,-0.07532033411680476,0.5279824887368574,0.7930242272347535,1.1782932144361626
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,16,2020-02-20,0.37603714692792456,-0.07785581727662859,0.530239560989907,0.7855979425632234,1.1693243637057993
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,17,2020-03-04,0.38258225842400284,-0.044413262689505954,0.5383251267725796,0.7777985074626865,1.166848326105911
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,18,2020-03-17,0.3901762062753773,0.04403538426517276,0.5518647560844067,0.7797304302747537,1.1623063754986056
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,19,2020-03-30,0.3728560066660288,0.019763400909953606,0.5548188522484483,0.7781005586592179,1.1551327769922797
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,20,2020-04-10,0.3638313599480551,0.010547586242827972,0.539621517410383,0.7751785714285714,1.1439715912032384
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,21,2020-04-23,0.3597278527882577,0.0007822237415086102,0.5388820345816105,0.7846759539672925,1.1517326093192408
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,22,2020-05-06,0.356214915916571,0.008326288933819245,0.5376663578761001,0.7735567970204842,1.1385568607037755
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,23,2020-05-19,0.36794638026219123,-0.009893000633763723,0.5391767444932002,0.7627215189873418,1.1273075434354736
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,24,2020-06-01,0.34788924687350004,-0.0014002237942659862,0.5405766539912881,0.7717205009887937,1.141413350888048
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,25,2020-06-12,0.3523546246610906,0.014279052769707106,0.5393143331047421,0.7791638570465274,1.1453097324755561
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,26,2020-06-25,0.35958738753129976,0.03308820693187026,0.5512528117435617,0.7836158192090396,1.1412595513246548
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,27,2020-07-08,0.36162367933095513,0.03894112749038347,0.5443752378136537,0.7814091178211959,1.1533433916634324
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,28,2020-07-21,0.36387176279993816,0.044277210249236296,0.5483812508065783,0.7704040978941377,1.125899687869809
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,29,2020-08-03,0.377288135390582,0.04911571891323945,0.5538508751166865,0.7809839690436705,1.1446118519516417
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,30,2020-08-14,0.3685542989746126,0.027933077948512307,0.5488637721058868,0.7719636169074371,1.122042281735496
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,31,2020-08-27,0.3638194980997683,0.03137031662711216,0.5288177593707041,0.7695218076720968,1.124216268568215
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,32,2020-09-09,0.3471733487646132,0.03776737972337069,0.5115587317116296,0.7723737373737374,1.1285283510044362
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,33,2020-09-22,0.3717728984891571,0.048089817575530644,0.5466807890298552,0.7830922693266833,1.1399402324384875
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,34,2020-10-05,0.3752901558516456,0.05195384204146385,0.5399946078142353,0.7758010521281684,1.1316497388164013
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,35,2020-10-16,0.3722950993824855,0.050680228289972755,0.5427057378549528,0.7749209218255761,1.1356293591927649
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,36,2020-10-29,0.373426921875802,0.07640682265211104,0.5349650100500586,0.7954007884362682,1.16077830494394
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,37,2020-11-11,0.3505294131988336,0.047567347097192444,0.5105753340532648,0.7782998718496369,1.1411694434852298
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,38,2020-11-24,0.36010181038384215,0.023965731460239847,0.5188189029585869,0.7881684210526316,1.1571795494363402
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,39,2020-12-07,0.3469362376605572,0.003998169193948615,0.5093654698288271,0.785248641872127,1.1505655806482438
eb788_00005,128,3,0.01,1e-05,0.6,50,1024,40,2020-12-18,0.3407898801033832,0.005785362293277199,0.50109053187543,0.7913687881429817,1.1654427162894259
