trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,0,2019-08-01,0.26350297532792955,-0.0017460197047630636,0.4293920346320347,0.79776,1.1583835081341378
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,1,2019-08-14,0.25818991524488427,0.0227634702075988,0.4206662936119892,0.7774647887323944,1.1469248591082721
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,2,2019-08-27,0.2740947168817423,0.006294045654873626,0.43076676938366043,0.7781007751937985,1.166244089761973
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,3,2019-09-09,0.27339337925387686,0.001035457064085742,0.4250769754731866,0.7771094402673351,1.1618553619914977
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,4,2019-09-20,0.29106308355718147,-0.03419500028261813,0.4660091596969466,0.7785391079508727,1.1560943119457716
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,5,2019-10-03,0.30900267115610774,-0.1003061268786378,0.47820276540258316,0.7733622089875474,1.164693411760267
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,6,2019-10-16,0.3281592179435873,-0.08871609486341896,0.493580608754946,0.7894915254237288,1.1824019371453292
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,7,2019-10-29,0.3410619713644157,-0.08255819782322353,0.49297456606512363,0.7794131132508024,1.1641216396618352
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,8,2019-11-11,0.3471536730283553,-0.07083897072819005,0.5079049929038932,0.7818666666666667,1.1691944926572764
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,9,2019-11-22,0.3486582249626263,-0.08173676517234943,0.4880250216092881,0.7850283718900044,1.170838745002094
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,10,2019-12-05,0.3571820654831778,-0.0796115766417184,0.5006709237579832,0.7859560067681896,1.164761844350112
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,11,2019-12-18,0.36271564096742126,-0.06587593097494955,0.505188779186268,0.7900450634985662,1.1776830840069044
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,12,2020-01-01,0.37389037521167195,-0.0722732904288584,0.5113908753843729,0.7881526104417671,1.171783673331736
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,13,2020-01-14,0.3616202453319388,-0.0711140837722833,0.49618731124408894,0.7766720386784851,1.1545605902033276
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,14,2020-01-27,0.3527980202597291,-0.07450496351780163,0.49403159163740434,0.7671635777598711,1.1526599600469658
eb788_00004,64,3,0.01,1e-05,0.6,50,1024,15,2020-02-07,0.3687474204175627,-0.0729746011350417,0.51347909060047,0.78312447786132,1.1605059286480544
