trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,coherence_loss_weight,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,0,2019-08-01,0.29769470880624516,-0.0017656013868376185,0.46615526695526693,0.9779200000000001,1.3082108591713661
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,1,2019-08-14,0.27694605597972294,0.028488920918600103,0.4390444037898282,0.9749039692701664,1.3033023728701283
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,2,2019-08-27,0.2965883113188101,0.008962581518593199,0.4591712541108196,0.9717054263565891,1.2918913525756575
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,3,2019-09-09,0.2936361173904766,0.003681765261936049,0.4573321660893532,0.9720969089390141,1.2928406829548755
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,4,2019-09-20,0.33150210443772987,-0.03710448704503825,0.503113857866229,0.9736263736263736,1.2972924576907432
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,5,2019-10-03,0.35720530801692024,-0.10883428533836048,0.5289319308768743,0.9701678397401191,1.2883656033195208
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,6,2019-10-16,0.379794272869176,-0.09742322652724168,0.5479159003538969,0.9737046004842616,1.290560542896419
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,7,2019-10-29,0.3958321028204757,-0.09287259465078461,0.550287489890553,0.9719853278312701,1.2880050594438393
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,8,2019-11-11,0.4049572091732826,-0.07788698235705425,0.5632971006589068,0.9705777777777779,1.2868086193841881
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,9,2019-11-22,0.40463235657043206,-0.08923733112774612,0.5534847124987974,0.9714098646879092,1.286306336466986
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,10,2019-12-05,0.4128927644016304,-0.08879479111951899,0.5584386788033475,0.9700084602368866,1.2846456535542718
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,11,2019-12-18,0.42312284707002695,-0.07528718808585774,0.5619147890987757,0.9721015977058582,1.2879694294845327
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,12,2020-01-01,0.4348203185067604,-0.07947462714455349,0.5793810144056223,0.9727309236947791,1.288882101793118
stratified_lambda_1.0,64,3,0.001,1e-05,0.6,50,1024,1.0,13,2020-01-14,0.42844980815647776,-0.07798673136539033,0.5695499016881048,0.9703464947622885,1.286352018083132
