embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,average_ndcg,average_roi,average_recall,average_profile_coherence
64,2,0.01,1e-05,0.6,50,1024,0.3071228403903447,-0.004848815983945784,0.46514484944825385,0.7781778090187861
128,2,0.01,1e-05,0.6,50,1024,0.31053392878145725,-0.004791613264932827,0.47039101978517744,0.7784688969552847
64,2,0.001,1e-05,0.6,50,1024,0.3284021323208493,-0.005840431118157426,0.49167165906981836,0.7886555488666478
128,2,0.001,1e-05,0.6,50,1024,0.3289826700144998,-0.006023673957683747,0.4917921685971979,0.7874837081407065
64,3,0.01,1e-05,0.6,50,1024,0.3045211552068169,-0.004515314239577131,0.4627458930240691,0.7791361728208167
128,3,0.01,1e-05,0.6,50,1024,0.30833428361682264,-0.004551152457787639,0.46779366232869213,0.7790982323640866
64,3,0.001,1e-05,0.6,50,1024,0.3288403499566671,-0.005431671630802061,0.4938708414951375,0.7931988927823305
128,3,0.001,1e-05,0.6,50,1024,0.327992112727014,-0.00559923745451237,0.4922906098028514,0.7899173663197394
