embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,average_ndcg,average_roi,average_recall,average_profile_coherence,average_profile_coherence_lift
64,2,0.01,1e-05,0.6,50,1024,0.30673877759816776,-0.004714773841009161,0.46427997274768296,0.7777237087106795,1.145909053962201
128,2,0.01,1e-05,0.6,50,1024,0.3102084454508511,-0.004757750454608766,0.4690706000433965,0.7788770145615084,1.1470616387510373
64,2,0.001,1e-05,0.6,50,1024,0.32856624617875047,-0.0059940744833213485,0.49257665640725395,0.7884335577132792,1.162316908578498
128,2,0.001,1e-05,0.6,50,1024,0.3291732245745397,-0.005972047698603736,0.49272460471436913,0.7875410140192002,1.159853224829545
64,3,0.01,1e-05,0.6,50,1024,0.3051379165411551,-0.004605108794504269,0.4637688345169124,0.7791484966837964,1.148436456120371
128,3,0.01,1e-05,0.6,50,1024,0.30761254026196655,-0.004502717286685693,0.46722879822050695,0.7789219230543624,1.1471041160133602
64,3,0.001,1e-05,0.6,50,1024,0.3295006429735805,-0.005396658854443863,0.4946414606356798,0.7940119600505401,1.170561424224297
128,3,0.001,1e-05,0.6,50,1024,0.32788784122086184,-0.005630348288171271,0.4919161136706651,0.7896423485373101,1.1645168695149795
