trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,0,2019-08-01,0.25607886209281444,-0.0030575873261919364,0.419084733044733,0.79456
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,1,2019-08-14,0.25591424779891997,0.023692361076849133,0.40409759768990017,0.7678617157490397
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,2,2019-08-27,0.2830093953557532,0.006200558622117459,0.44181669145714436,0.7718992248062015
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,3,2019-09-09,0.2710235298169359,0.00020199918586675378,0.4251490129715104,0.768170426065163
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,4,2019-09-20,0.2921379296778748,-0.033921217337229186,0.45851993217002956,0.7809308338720102
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,5,2019-10-03,0.31227623790951126,-0.103053967268512,0.4703106174686621,0.7748781808337846
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,6,2019-10-16,0.32113963353037617,-0.0887257514932143,0.4778697408046008,0.7831476997578692
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,7,2019-10-29,0.33498404064158,-0.08379797188473505,0.488132773001708,0.774873911049977
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,8,2019-11-11,0.3433295706496608,-0.07061118846245695,0.49427849504778787,0.7808444444444445
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,9,2019-11-22,0.3518308278497156,-0.0835232421680323,0.4929481033626544,0.7855521606285465
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,10,2019-12-05,0.3537415221111106,-0.07886675506513088,0.48853417294035634,0.7813451776649747
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,11,2019-12-18,0.37225546914228924,-0.06945269488045487,0.5161443731481904,0.7939369111020074
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,12,2020-01-01,0.37120501592322935,-0.07390691465804475,0.5066045788196052,0.7856224899598394
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,13,2020-01-14,0.3550663814712267,-0.07168112389250322,0.48508992224271497,0.7801772763900081
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,14,2020-01-27,0.35553898731659433,-0.07717876036319887,0.5024714737199968,0.7732473811442385
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,15,2020-02-07,0.3664453241441716,-0.07520936909935157,0.5277571624951676,0.7809106098579783
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,16,2020-02-20,0.379507809134741,-0.07801946638955588,0.5324869724582787,0.7764252036005144
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,17,2020-03-04,0.37752970510801015,-0.04473455123397202,0.5297654102995345,0.7719216417910447
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,18,2020-03-17,0.3921164772814557,0.04349237756128092,0.5550215569472727,0.7737687921202695
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,19,2020-03-30,0.36411916717480464,0.01912523299257478,0.5428017502507779,0.7756983240223464
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,20,2020-04-10,0.36792072842617995,0.012181532804159179,0.5387581198951997,0.7742857142857142
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,21,2020-04-23,0.34669809874637775,0.00023429887344305334,0.5280516357590859,0.7709267110841914
4f17d_00000,64,2,0.01,1e-05,0.6,50,1024,22,2020-05-06,0.36505087535642206,0.00703991878226655,0.5404877576567276,0.7749224084419616
